Year,Sex,Age,Lives,Deaths,Cause of Death,Expected Deaths,Adjusted Age
1950,Male,0,14034,37,Other,43,0
1950,Male,1,84580,504,Other,345,1
1950,Male,2,72308,367,Other,460,2
1950,Male,3,34728,221,Heart Disease,242,3
1950,Male,4,66772,667,Other,417,4
1950,Male,5,43802,373,Accidents,396,5
1950,Male,6,97010,1117,Other,871,6
1950,Male,7,57871,599,Other,562,7
1950,Male,8,48458,524,COVID-19,616,8
1950,Male,9,56662,740,Alzheimer's,722,9
1950,Male,10,31551,417,Heart Disease,424,10
1950,Male,11,25226,408,Stroke,363,11
1950,Male,12,13396,211,Diabetes,207,12
1950,Male,13,60886,1047,Kidney Disease,1055,13
1950,Male,14,24206,422,Cancer,392,14
1950,Male,15,67967,1393,Cancer,1196,15
1950,Male,16,44550,810,Other,824,16
1950,Male,17,28634,582,Alzheimer's,557,17
1950,Male,18,78480,1683,Other,1674,18
1950,Male,19,21657,473,Alzheimer's,457,19
1950,Male,20,54914,1338,Alzheimer's,1266,20
1950,Male,21,43696,1132,COVID-19,1061,21
1950,Male,22,51698,1390,Cancer,1279,22
1950,Male,23,25242,676,Influenza,648,23
1950,Male,24,45050,1282,Alzheimer's,1203,24
1950,Male,25,69582,2032,Alzheimer's,1918,25
1950,Male,26,66699,1973,Diabetes,1972,26
1950,Male,27,35695,1112,Cancer,1010,27
1950,Male,28,15205,511,Accidents,450,28
1950,Male,29,61451,2065,Accidents,1846,29
1950,Male,30,25211,847,COVID-19,812,30
1950,Male,31,76072,2688,COVID-19,2478,31
1950,Male,32,47884,1782,Heart Disease,1581,32
1950,Male,33,20215,787,Cancer,683,33
1950,Male,34,56173,2257,Cancer,2023,34
1950,Male,35,36558,1378,Stroke,1372,35
1950,Male,36,55057,2200,Other,2134,36
1950,Male,37,12929,531,Diabetes,502,37
1950,Male,38,34793,1448,Cancer,1397,38
1950,Male,39,63789,2717,Heart Disease,2605,39
1950,Male,40,25877,1115,Diabetes,1064,40
1950,Male,41,79654,3676,Cancer,3465,41
1950,Male,42,77819,3441,Heart Disease,3334,42
1950,Male,43,85150,3904,Other,3772,43
1950,Male,44,73977,3629,Kidney Disease,3280,44
1950,Male,45,41836,2082,Heart Disease,1993,45
1950,Male,46,87931,4482,Other,4203,46
1950,Male,47,53255,2693,Diabetes,2626,47
1950,Male,48,96289,4950,Stroke,4665,48
1950,Male,49,37608,1952,Heart Disease,1884,49
1950,Male,50,43991,2454,Other,2156,50
1950,Male,51,53800,2944,Cancer,2932,51
1950,Male,52,17661,987,Other,933,52
1950,Male,53,54994,3195,Cancer,3011,53
1950,Male,54,26565,1558,Accidents,1519,54
1950,Male,55,87712,5170,Accidents,4994,55
1950,Male,56,75918,4509,Cancer,4415,56
1950,Male,57,48157,2976,Influenza,2840,57
1950,Male,58,48172,2982,Cancer,2735,58
1950,Male,59,19457,1221,Stroke,1162,59
1950,Male,60,15454,968,Other,929,60
1950,Male,61,48995,3283,COVID-19,3037,61
1950,Male,62,85333,5559,Heart Disease,5306,62
1950,Male,63,96324,6298,Diabetes,6071,63
1950,Male,64,29190,1991,Stroke,1902,64
1950,Male,65,42479,2945,Stroke,2811,65
1950,Male,66,12526,879,Heart Disease,838,66
1950,Male,67,42246,3003,Heart Disease,2948,67
1950,Male,68,60822,4338,Accidents,4093,68
1950,Male,69,18227,1369,Heart Disease,1298,69
1950,Male,70,27446,2005,Accidents,1956,70
1950,Male,71,66355,5078,Other,4693,71
1950,Male,72,97748,7432,COVID-19,6936,72
1950,Male,73,94441,7128,COVID-19,6894,73
1950,Male,74,26159,2048,Cancer,1931,74
1950,Male,75,56257,4449,Other,4095,75
1950,Male,76,53553,4332,Heart Disease,4017,76
1950,Male,77,92541,7441,COVID-19,7038,77
1950,Male,78,61199,5048,Other,4724,78
1950,Male,79,40333,3346,Cancer,3139,79
1950,Male,80,95145,7956,Alzheimer's,7451,80
1950,Male,81,42791,3583,Other,3493,81
1950,Male,82,11272,979,Cancer,895,82
1950,Male,83,52007,4428,Other,4317,83
1950,Male,84,87360,7597,Cancer,7299,84
1950,Male,85,38146,3376,Diabetes,3212,85
1950,Male,86,84645,7619,Accidents,7140,86
1950,Male,87,78462,7198,Influenza,6812,87
1950,Male,88,34317,3213,Accidents,2992,88
1950,Male,89,65302,6061,Alzheimer's,5840,89
1950,Male,90,29328,2770,COVID-19,2626,90
1950,Male,91,77216,7355,Heart Disease,7015,91
1950,Male,92,75008,7126,Other,6845,92
1950,Male,93,70912,6933,COVID-19,6557,93
1950,Male,94,53242,5216,Alzheimer's,4994,94
1950,Male,95,68226,6653,Alzheimer's,6403,95
1950,Male,96,82052,8205,Influenza,7820,96
1950,Male,97,88118,8811,Influenza,8464,97
1950,Male,98,97002,9700,Accidents,9174,98
1950,Male,99,57671,5767,Diabetes,5748,99
1950,Female,0,48131,207,Accidents,271,0
1950,Female,1,65922,308,Cancer,230,1
1950,Female,2,15524,92,Stroke,92,2
1950,Female,3,37875,310,Cancer,275,3
1950,Female,4,50653,438,COVID-19,390,4
1950,Female,5,74568,567,Other,674,5
1950,Female,6,68370,803,Diabetes,782,6
1950,Female,7,27120,287,Other,303,7
1950,Female,8,21692,287,Stroke,272,8
1950,Female,9,84584,1038,Heart Disease,1074,9
1950,Female,10,39768,534,Accidents,531,10
1950,Female,11,43114,651,Alzheimer's,654,11
1950,Female,12,23858,365,Accidents,381,12
1950,Female,13,12516,225,Heart Disease,187,13
1950,Female,14,91297,1625,Heart Disease,1675,14
1950,Female,15,82924,1702,Influenza,1373,15
1950,Female,16,22082,444,Other,457,16
1950,Female,17,22606,472,Accidents,449,17
1950,Female,18,25511,602,Accidents,513,18
1950,Female,19,71335,1605,Other,1522,19
1950,Female,20,56665,1325,COVID-19,1373,20
1950,Female,21,53966,1331,Diabetes,1259,21
1950,Female,22,33218,827,Cancer,876,22
1950,Female,23,58324,1606,COVID-19,1514,23
1950,Female,24,98791,2774,Stroke,2599,24
1950,Female,25,26291,758,Accidents,733,25
1950,Female,26,10716,323,Heart Disease,315,26
1950,Female,27,99363,3076,Accidents,3069,27
1950,Female,28,89187,2748,COVID-19,2789,28
1950,Female,29,91246,2989,COVID-19,2903,29
1950,Female,30,75650,2627,Heart Disease,2346,30
1950,Female,31,89001,2982,Accidents,3005,31
1950,Female,32,45586,1553,Accidents,1482,32
1950,Female,33,45274,1696,COVID-19,1585,33
1950,Female,34,16430,600,Diabetes,584,34
1950,Female,35,48398,1859,Other,1804,35
1950,Female,36,65973,2689,Accidents,2556,36
1950,Female,37,93728,3754,Cancer,3594,37
1950,Female,38,39156,1682,Other,1578,38
1950,Female,39,81558,3572,Influenza,3324,39
1950,Female,40,97851,4236,Cancer,3983,40
1950,Female,41,76543,3520,Heart Disease,3318,41
1950,Female,42,45731,2081,Diabetes,1965,42
1950,Female,43,34314,1597,COVID-19,1525,43
1950,Female,44,75754,3649,COVID-19,3428,44
1950,Female,45,58213,2842,Heart Disease,2780,45
1950,Female,46,14475,733,Diabetes,681,46
1950,Female,47,78838,3948,Other,3735,47
1950,Female,48,91139,4713,Accidents,4382,48
1950,Female,49,49376,2641,COVID-19,2512,49
1950,Female,50,72339,3810,COVID-19,3715,50
1950,Female,51,93808,5054,Heart Disease,4753,51
1950,Female,52,24889,1427,Alzheimer's,1337,52
1950,Female,53,24041,1370,Alzheimer's,1336,53
1950,Female,54,50295,2905,Other,2737,54
1950,Female,55,73303,4352,Accidents,4121,55
1950,Female,56,79784,4636,Heart Disease,4751,56
1950,Female,57,22772,1349,Heart Disease,1340,57
1950,Female,58,31782,1946,Stroke,1824,58
1950,Female,59,82584,5219,Alzheimer's,4928,59
1950,Female,60,72373,4558,Heart Disease,4283,60
1950,Female,61,93709,5958,Kidney Disease,5721,61
1950,Female,62,74952,4912,Diabetes,4700,62
1950,Female,63,71673,4753,Cancer,4571,63
1950,Female,64,86666,5905,Other,5769,64
1950,Female,65,95527,6646,COVID-19,6213,65
1950,Female,66,26466,1867,Kidney Disease,1782,66
1950,Female,67,10652,759,Heart Disease,715,67
1950,Female,68,86655,6231,Influenza,5975,68
1950,Female,69,67118,4862,Heart Disease,4629,69
1950,Female,70,96452,7272,Other,6730,70
1950,Female,71,38272,2872,Other,2702,71
1950,Female,72,62251,4653,Heart Disease,4497,72
1950,Female,73,38774,2947,Heart Disease,2875,73
1950,Female,74,94216,7320,Heart Disease,6976,74
1950,Female,75,10686,842,Other,788,75
1950,Female,76,69917,5563,Accidents,5264,76
1950,Female,77,62057,5083,Stroke,4831,77
1950,Female,78,63453,5144,Cancer,4943,78
1950,Female,79,45237,3750,Other,3524,79
1950,Female,80,97025,8171,COVID-19,7672,80
1950,Female,81,62625,5333,Other,4982,81
1950,Female,82,39451,3369,Diabetes,3208,82
